time,ticks,degrees
4.200000000000037e-05,1564,1564
0.005045999999999995,1564,1564
0.010049000000000002,1560,1560
0.015051999999999996,1563,1563
0.020054000000000002,1564,1564
0.025058999999999998,1564,1564
0.03006199999999999,1564,1564
0.035063,1564,1564
0.040065,1565,1565
0.04506600000000001,1566,1566
0.05006799999999999,1567,1567
0.055076,1566,1566
0.060077000000000005,1565,1565
0.06507800000000001,1563,1563
0.07007999999999999,1564,1564
0.075081,1563,1563
0.080082,1565,1565
0.085083,1566,1566
0.09008399999999998,1564,1564
0.09508499999999999,1564,1564
0.100086,1564,1564
0.105087,1565,1565
0.110088,1569,1569
0.11508900000000001,1567,1567
0.12009099999999999,1562,1562
0.12509199999999998,1567,1567
0.13009300000000001,1566,1566
0.135094,1567,1567
0.140098,1562,1562
0.14509899999999998,1564,1564
0.1501,1565,1565
0.155101,1565,1565
0.160103,1565,1565
0.16510399999999997,1562,1562
0.17010399999999998,1566,1566
0.175105,1564,1564
0.18010699999999996,1567,1567
0.18510699999999997,1566,1566
0.190108,1564,1564
0.19510899999999998,1568,1568
0.20011,1564,1564
0.20511199999999996,1564,1564
0.21011199999999997,1561,1561
0.215113,1568,1568
0.22011399999999998,1562,1562
0.225115,1565,1565
0.23011699999999996,1565,1565
0.23511699999999996,1564,1564
0.240118,1564,1564
0.24511899999999998,1566,1566
0.25012,1564,1564
0.255121,1564,1564
0.260121,1562,1562
0.26512199999999997,1564,1564
0.270122,1564,1564
0.275123,1566,1566
0.280124,1565,1565
0.285128,1544,1544
0.290132,1488,1488
0.295136,1397,1397
0.30013999999999996,1270,1270
0.305143,1140,1140
0.310145,999,999
0.315147,859,859
0.32015099999999996,736,736
0.32515299999999997,635,635
0.330155,557,557
0.335156,495,495
0.34015799999999996,452,452
0.345159,421,421
0.350161,385,385
0.355162,345,345
0.360163,288,288
0.36516499999999996,214,214
0.370166,113,113
0.375172,16364,16364
0.380173,16185,16185
0.38517399999999996,15931,15931
0.390175,15605,15605
0.39517599999999997,15236,15236
0.400177,14840,14840
0.405178,14423,14423
0.41018,14023,14023
0.41518099999999997,13625,13625
0.420182,13200,13200
0.42518300000000003,12729,12729
0.43018399999999996,12226,12226
0.435185,11711,11711
0.440186,11221,11221
0.44518699999999994,10755,10755
0.450188,10285,10285
0.455189,9748,9748
0.46018999999999993,9188,9188
0.46519099999999997,8625,8625
0.470192,8066,8066
0.47519300000000003,7456,7456
0.480195,6827,6827
0.485196,6188,6188
0.49019699999999994,5597,5597
0.49519699999999994,4998,4998
0.500198,4341,4341
0.5051990000000001,3657,3657
0.5102,2998,2998
0.515201,2343,2343
0.520202,1651,1651
0.5252020000000001,931,931
0.5302030000000001,224,224
0.535205,15873,15873
0.5402060000000001,15079,15079
0.545207,14296,14296
0.550207,13531,13531
0.555207,12743,12743
0.560208,11921,11921
0.5652090000000001,11152,11152
0.57021,10384,10384
0.575211,9601,9601
0.5802120000000001,8798,8798
0.5852120000000001,7995,7995
0.590213,7170,7170
0.595214,6345,6345
0.600214,5540,5540
0.6052150000000001,4724,4724
0.6102150000000001,3868,3868
0.615216,3032,3032
0.620217,2196,2196
0.625217,1328,1328
0.6302180000000001,445,445
0.6352190000000001,15925,15925
0.64022,14979,14979
0.645221,14011,14011
0.650221,13084,13084
0.655221,12132,12132
0.6602220000000001,11196,11196
0.665223,10310,10310
0.670223,9402,9402
0.675224,8464,8464
0.680224,7502,7502
0.685224,6562,6562
0.6902250000000001,5633,5633
0.695226,4698,4698
0.700226,3740,3740
0.705227,2806,2806
0.7102280000000001,1847,1847
0.7152280000000001,844,844
0.720229,16207,16207
0.72523,15159,15159
0.7302310000000001,14112,14112
0.735232,13083,13083
0.740232,12034,12034
0.745232,11027,11027
0.750233,10003,10003
0.755233,8989,8989
0.7602340000000001,7964,7964
0.765235,6915,6915
0.770235,5895,5895
0.775235,4884,4884
0.780235,3850,3850
0.785235,2807,2807
0.790236,1773,1773
0.795236,705,705
0.8002360000000001,16001,16001
0.8052360000000001,14866,14866
0.8102360000000001,13747,13747
0.8152360000000001,12642,12642
0.820237,11483,11483
0.825237,10414,10414
0.830238,9345,9345
0.8352390000000001,8257,8257
0.84024,7153,7153
0.845241,6062,6062
0.850242,4994,4994
0.8552430000000001,3879,3879
0.860244,2796,2796
0.865245,1700,1700
0.8702460000000001,567,567
0.875247,15781,15781
0.880248,14576,14576
0.885248,13393,13393
0.8902490000000001,12157,12157
0.8952490000000001,10987,10987
0.9002490000000001,9855,9855
0.90525,8705,8705
0.91025,7534,7534
0.91525,6368,6368
0.9202500000000001,5227,5227
0.92525,4046,4046
0.9302500000000001,2900,2900
0.93525,1745,1745
0.9402500000000001,546,546
0.94525,15698,15698
0.9502499999999999,14441,14441
0.95525,13211,13211
0.9602510000000001,11921,11921
0.9652520000000001,10714,10714
0.970252,9544,9544
0.975253,8343,8343
0.9802529999999999,7126,7126
0.985253,5935,5935
0.9902529999999999,4755,4755
0.995253,3528,3528
1.0002529999999998,2344,2344
1.005253,1128,1128
1.0102529999999998,16260,16260
1.015253,14960,14960
1.0202529999999999,13680,13680
1.025253,12404,12404
1.030254,11098,11098
1.035255,9908,9908
1.040255,8658,8658
1.0452549999999998,7415,7415
1.050255,6179,6179
1.0552549999999998,4967,4967
1.0602559999999999,3732,3732
1.065257,2507,2507
1.070257,1264,1264
1.0752579999999998,16368,16368
1.080258,15043,15043
1.0852579999999998,13733,13733
1.090258,12432,12432
1.095259,11134,11134
1.10026,9878,9878
1.10526,8626,8626
1.11026,7355,7355
1.11526,6100,6100
1.12026,4858,4858
1.1252609999999998,3601,3601
1.130261,2342,2342
1.1352609999999999,1046,1046
1.140261,16116,16116
1.1452609999999999,14758,14758
1.150261,13430,13430
1.1552609999999999,12094,12094
1.160262,10796,10796
1.165263,9535,9535
1.1702629999999998,8229,8229
1.175263,6932,6932
1.1802629999999998,5666,5666
1.185263,4391,4391
1.1902629999999998,3119,3119
1.1952639999999999,1855,1855
1.200264,545,545
1.205264,15519,15519
1.210264,14148,14148
1.215264,12807,12807
1.220264,3917,3917
1.2252649999999998,2623,2623
1.2302659999999999,1332,1332
1.235267,16346,16346
1.240268,14932,14932
1.245269,13564,13564
1.25027,12199,12199
1.255271,10855,10855
1.2602719999999998,9567,9567
1.2652729999999999,8234,8234
1.270274,6859,6859
1.275275,5565,5565
1.280276,4268,4268
1.285277,2977,2977
1.290278,1686,1686
1.2952789999999998,343,343
1.3002799999999999,15333,15333
1.305281,13922,13922
1.310281,12552,12552
1.3152819999999998,11188,11188
1.3202829999999999,9888,9888
1.325284,8574,8574
1.330285,7235,7235
1.335286,5925,5925
1.340287,4579,4579
1.3452879999999998,3275,3275
1.350288,1983,1983
1.355289,644,644
1.36029,15645,15645
1.36529,14237,14237
1.37029,12862,12862
1.3752909999999998,11458,11458
1.380291,10142,10142
1.385292,8822,8822
1.390293,7474,7474
1.395294,6146,6146
1.400294,4840,4840
1.4052939999999998,3516,3516
1.410294,2171,2171
1.415295,832,832
1.420296,15829,15829
