time,degrees
2.3999999999996247e-05,0
0.010029999999999997,0
0.020033999999999996,0
0.030035999999999993,0
0.040037,0
0.050038,0
0.060038999999999995,0
0.07004099999999999,0
0.080042,0
0.090043,0
0.10004400000000001,0
0.11004599999999999,0
0.120047,0
0.130048,0
0.14005,0
0.150051,0
0.160053,0
0.17005399999999998,0
0.18005500000000002,0
0.190056,0
0.20005699999999998,0
0.21005800000000002,0
0.220059,0
0.230059,0
0.24006,0
0.25006,0
0.260061,0
0.270062,0
0.28006200000000003,0
0.290065,0
0.300066,0
0.31006700000000004,0
0.320068,0
0.330071,0
0.340072,0
0.350073,0
0.360074,0
0.370075,0
0.380075,0
0.39007600000000003,0
0.400078,0
0.410079,0
0.42008,0
0.430081,0
0.44008200000000003,0
0.45008400000000004,0
0.460086,0
0.47008800000000006,0
0.48009,0
0.49009100000000005,0
0.500092,0
0.510093,0
0.5200940000000001,0
0.530095,0
0.540096,0
0.5500970000000001,0
0.560098,0
0.570099,0
0.5801000000000001,0
0.590102,0
0.600102,0
0.610102,0
0.620102,0
0.630102,0
0.6401020000000001,0
0.650103,0
0.660103,0
0.670103,0
0.680103,0
0.690103,0
0.700103,0
0.710104,0
0.720104,0
0.730104,0
0.740104,0
0.750105,0
0.760105,0
0.770105,0
0.780107,0
0.790107,0
0.800107,0
0.810108,0
0.8201080000000001,0
0.83011,0
0.840111,0
0.8501110000000001,0
0.860113,0
0.870113,0
0.8801140000000001,0
0.890115,0
0.900116,0
0.910116,0
0.920116,0
0.930117,0
0.940118,0
0.950118,0
0.960118,0
0.9701190000000001,0
0.98012,0
0.99012,0
1.00012,0
1.01012,0
1.0201209999999998,0
1.0301209999999998,0
1.040122,0
1.050122,0
1.060122,0
1.070123,0
1.080123,0
1.090123,0
1.1001239999999999,0
1.1101239999999999,0
1.120124,0
1.130124,0
1.140124,0
1.150124,0
1.160124,0
1.170124,0
1.180124,0
1.190124,0
1.2001249999999999,0
1.210125,0
1.220125,0
1.230125,0
1.240125,0
1.250125,0
1.2601259999999999,0
1.2701259999999999,0
1.2801259999999999,0
1.2901259999999999,0
1.300126,0
1.310126,0
1.320126,0
1.330126,0
1.340126,0
1.350126,0
1.360126,0
1.370126,0
1.380126,0
1.390126,0
1.400126,0
1.410126,0
1.420126,0
1.430126,0
1.440127,0
1.450127,0
1.4601279999999999,0
1.4701279999999999,0
1.4801279999999999,0
1.4901289999999998,0
1.5001289999999998,0
1.5101289999999998,0
1.52013,0
1.53013,0
1.54013,0
1.55013,0
1.560131,0
1.570131,0
1.580131,0
1.5901319999999999,0
1.6001319999999999,0
1.610132,0
1.620134,0
1.630134,0
1.640134,0
1.650134,0
1.660135,0
1.670135,0
1.680135,0
1.690135,0
1.700135,0
1.710135,0
1.7201359999999999,0
1.730136,0
1.740136,0
1.7501369999999998,0
1.7601369999999998,0
1.7701369999999998,0
1.7801369999999999,0
1.7901369999999999,0
1.8001369999999999,0
1.8101369999999999,0
1.8201379999999998,0
1.8301379999999998,0
1.8401379999999998,0
1.8501379999999998,0
1.8601379999999998,0
1.8701379999999999,0
1.8801379999999999,0
1.8901379999999999,0
1.9001379999999999,0
1.9101389999999998,0
1.9201389999999998,0
1.9301389999999998,0
1.94014,0
1.95014,0
1.96014,0
1.97014,0
1.980141,0
1.9901419999999999,0
2.0001420000000003,0
2.0101430000000002,0
2.020144,0
2.030144,0
2.0401450000000003,0
2.0501460000000002,0
2.060146,0
2.070147,0
2.080147,0
2.090147,0
2.100147,0
2.110148,-1
2.120148,-1
2.130148,-1
2.140149,-2
2.1501490000000003,-2
2.160149,-3
2.17015,-3
2.1801500000000003,-3
2.19015,-3
2.200151,-3
2.210151,-3
2.220151,-3
2.230151,-3
2.240151,-3
2.2501510000000002,-3
2.260151,-3
2.270152,-3
2.280152,-3
2.290152,-3
2.300152,-3
2.310152,-3
2.320152,-4
2.330152,-4
2.3401520000000002,-4
2.350152,-4
2.3601520000000002,-4
2.370152,-5
2.3801520000000003,-5
2.390152,-6
2.4001520000000003,-6
2.410152,-6
2.4201520000000003,-7
2.430152,-7
2.4401520000000003,-7
2.450152,-7
2.4601520000000003,-7
2.470152,-7
2.480152,-7
2.490152,-8
2.500152,-8
2.510152,-8
2.520152,-9
2.5301530000000003,-9
2.540153,-9
2.5501530000000003,-9
2.560153,-9
2.570153,-9
2.580153,-9
2.590154,-9
2.6001540000000003,-9
2.610154,-9
2.620155,-9
2.6301550000000002,-9
2.640155,-9
2.6501550000000003,-9
2.660156,-10
2.670156,-10
2.680156,-10
2.690157,-10
2.700158,-10
2.7101580000000003,-10
2.720159,-10
2.730159,-10
2.7401590000000002,-10
2.750159,-10
2.7601590000000003,-10
2.770159,-10
2.78016,-9
2.7901610000000003,-9
2.800161,-9
2.810161,-9
2.8201620000000003,-9
2.830162,-9
