time,velocity,duty_cycle
1.9999999999999185e-05,0.0,0.0
0.010021999999999996,0.0,0.0
0.020023000000000006,0.0,0.0
0.030026000000000004,0.0,0.0
0.040028,0.0,0.0
0.05003,0.0,0.0
0.060031999999999995,0.0,0.0
0.07003300000000001,0.0,0.0
0.080035,0.0,0.0
0.090037,0.0,0.0
0.10003800000000002,0.0,0.0
0.110041,0.0,0.0
0.12004200000000001,0.0,0.0
0.13004300000000002,0.0,0.0
0.140046,0.0,0.0
0.150047,0.0,0.0
0.160048,0.0,0.0
0.17005,0.0,0.0
0.18005100000000002,0.0,0.0
0.190052,0.0,0.0
0.200053,0.0,0.0
0.210054,0.00999999999999801,0.001000000000000334
0.22005500000000003,0.0,0.0
0.23005699999999998,0.0,0.0
0.24005800000000002,0.0,0.0
0.250059,0.0,0.0
0.260063,0.0,0.0
0.27006399999999997,0.0,0.0
0.28006499999999995,0.0,0.0
0.290066,-0.00999999999999801,-0.001000000000000334
0.300067,0.0,0.0
0.31006799999999995,0.0,0.0
0.320069,0.0,0.0
0.33007,-0.00999999999999801,-0.001000000000000334
0.34007099999999996,-0.00999999999999801,-0.001000000000000334
0.350072,0.0,0.0
0.360072,0.0,0.0
0.37007399999999996,0.0,0.0
0.380075,0.0,0.0
0.390076,0.00999999999999801,0.001000000000000334
0.400076,0.0,0.0
0.41007699999999997,0.00999999999999801,0.001000000000000334
0.420077,0.0,0.0
0.43007799999999996,0.0,0.0
0.440079,0.00999999999999801,0.001000000000000334
0.4500799999999999,0.0,0.0
0.46007999999999993,0.0,0.0
0.470082,0.0,0.0
0.4800829999999999,0.0,0.0
0.49008299999999994,0.0,0.0
0.500084,0.0,0.0
0.510085,0.0,0.0
0.5200859999999999,0.0,0.0
0.530087,0.0,0.0
0.540088,-0.00999999999999801,-0.001000000000000334
0.550088,0.0,0.0
0.560089,0.0,0.0
0.570091,0.0,0.0
0.5800919999999999,0.0,0.0
0.590094,0.0,0.0
0.6000949999999999,0.0,0.0
0.6100949999999999,0.0,0.0
0.620096,-0.00999999999999801,-0.001000000000000334
0.630097,0.0,0.0
0.640097,0.0,0.0
0.6501,-0.00999999999999801,-0.001000000000000334
0.6601,0.0,0.0
0.670101,0.0,0.0
0.680102,0.0,0.0
0.690103,0.0,0.0
0.700104,0.0,0.0
0.710105,0.00999999999999801,0.001000000000000334
0.720106,0.0,0.0
